,precision,recall,f1-score,support
0,0.9661016949152542,0.9661016949152542,0.9661016949152542,59.0
1,0.9180327868852459,0.9180327868852459,0.9180327868852459,61.0
2,0.9444444444444444,0.9272727272727272,0.9357798165137615,55.0
3,0.9607843137254902,1.0,0.98,49.0
4,1.0,0.9857142857142858,0.9928057553956835,70.0
5,1.0,1.0,1.0,64.0
6,1.0,1.0,1.0,60.0
accuracy,0.9712918660287081,0.9712918660287081,0.9712918660287081,0.9712918660287081
macro avg,0.9699090342814907,0.9710173563982162,0.9703885791014207,418.0
weighted avg,0.9713465928636207,0.9712918660287081,0.9712542889616141,418.0
